Date,Sales,Price,Promotion
2023-01-01,89,102.1,0
2023-01-02,95,78.5,0
2023-01-03,112,145.3,1
2023-01-04,105,67.2,0
2023-01-05,98,119.8,0
2023-01-06,115,95.4,1
2023-01-07,108,132.1,0
2023-01-08,92,81.6,0
2023-01-09,118,156.7,1
2023-01-10,110,71.9,0
2023-01-11,102,128.4,0
2023-01-12,125,99.2,1
2023-01-13,114,138.6,0
2023-01-14,97,84.3,0
2023-01-15,131,162.8,1
2023-01-16,119,76.5,0
2023-01-17,106,135.9,0
2023-01-18,128,103.7,1
2023-01-19,122,145.1,0
2023-01-20,101,89.2,0
2023-01-21,135,167.4,1
2023-01-22,124,79.8,0
2023-01-23,111,142.2,0
2023-01-24,132,107.6,1
2023-01-25,127,148.9,0
2023-01-26,105,92.1,0
2023-01-27,139,171.5,1
2023-01-28,129,83.7,0
2023-01-29,116,148.5,0
2023-01-30,136,111.8,1
2023-02-01,131,151.4,0
2023-02-02,108,96.3,0
2023-02-03,142,174.6,1
2023-02-04,133,87.2,0
2023-02-05,120,152.8,0
2023-02-06,138,115.1,1
2023-02-07,134,154.2,0
2023-02-08,110,99.5,0
2023-02-09,144,177.3,1
2023-02-10,136,90.6,0
2023-02-11,123,155.7,0
2023-02-12,140,118.4,1
2023-02-13,136,157.1,0
2023-02-14,112,102.7,0
2023-02-15,146,180.1,1
2023-02-16,138,93.9,0
2023-02-17,125,158.6,0
2023-02-18,142,121.7,1
2023-02-19,138,159.5,0
2023-02-20,113,106.1,0
2023-02-21,148,182.8,1
2023-02-22,140,97.3,0
2023-02-23,127,161.5,0
2023-02-24,144,125.0,1
2023-02-25,140,162.2,0
2023-02-26,115,109.4,0
2023-02-27,150,185.6,1
2023-02-28,142,100.7,0
2023-03-01,129,164.4,0
2023-03-02,146,128.3,1
2023-03-03,141,164.8,0
2023-03-04,116,112.8,0
2023-03-05,151,188.3,1
2023-03-06,143,104.0,0
2023-03-07,130,167.3,0
2023-03-08,148,131.6,1
2023-03-09,142,167.5,0
2023-03-10,117,116.1,0
2023-03-11,153,191.1,1
2023-03-12,145,107.4,0
2023-03-13,132,170.2,0
2023-03-14,149,134.9,1
2023-03-15,143,170.1,0
2023-03-16,118,119.5,0
2023-03-17,154,193.8,1
2023-03-18,146,110.7,0
2023-03-19,133,173.1,0
2023-03-20,151,138.2,1
2023-03-21,144,172.8,0
2023-03-22,119,122.8,0
2023-03-23,155,196.5,1
2023-03-24,147,114.1,0
2023-03-25,134,176.0,0
2023-03-26,152,141.5,1
2023-03-27,145,175.4,0
2023-03-28,120,126.2,0
2023-03-29,156,199.2,1
2023-03-30,148,117.4,0
2023-03-31,135,178.9,0
2023-04-01,153,144.8,1
2023-04-02,146,178.1,0
2023-04-03,121,129.5,0
2023-04-04,157,202.0,1
2023-04-05,149,120.8,0
2023-04-06,136,181.8,0
2023-04-07,154,148.1,1
2023-04-08,147,180.7,0
2023-04-09,122,132.9,0
